ID	year
Germany/NW-RKI-I-416837/2021	2021
Germany/BW-RKI-I-435458/2022	2022
Germany/BY-RKI-I-409231/2021	2021
Germany/SH-RKI-I-458700/2022	2022
Germany/NW-RKI-I-438371/2022	2022
Germany/NW-RKI-I-383790/2021	2021
Germany/BY-RKI-I-473713/2021	2021
Germany/HE-RKI-I-477643/2022	2022
Denmark/DCGC-283475/2021	2021
Denmark/DCGC-304954/2022	2022
Denmark/DCGC-318707/2022	2022
Denmark/DCGC-313815/2022	2022
Denmark/DCGC-321540/2022	2022
Denmark/DCGC-304431/2022	2022
Denmark/DCGC-299837/2021	2021
Denmark/DCGC-359549/2021	2021
Denmark/DCGC-298765/2021	2021
Denmark/DCGC-313019/2022	2022
England/PHEC-YYB5QHB/2022	2022
England/ALDP-33E4B23/2022	2022
England/PHEC-YYNEW5D/2022	2022
England/NORW-3126979/2021	2021
England/LSPA-34B66CE/2022	2022
England/PHEC-YYBS6AD/2021	2021
England/MILK-3319439/2022	2022
England/LOND-1292077/2021	2021
England/QEUH-32C4E5E/2022	2022
England/NORW-314C263/2022	2022
USA/ID-CDC-LC0504756/2022	2022
USA/DC-CDC-LC0453990/2021	2021
USA/CA-HLX-STM-5GZTN7FJC/2021	2021
USA/NY-CDC-ASC210561355/2021	2021
USA/IL-NM-18448/2022	2022
USA/CT-JAX-JAX-2152-127/2021	2021
USA/CA-FS25328359/2021	2021
USA/NY-CDC-FG-196239/2021	2021
USA/PA-CDC-QDX32932970/2022	2022
USA/NY-PRL-2022_0108_00A16/2022	2022
Philippines/PH-PGC-102463/2021	2021
Philippines/PH-PGC-103975/2022	2022
Philippines/PH-PGC-104353/2022	2022
Philippines/PH-RITM-989/2022	2022
Philippines/PH-PGC-103787/2021	2021
Philippines/PH-PGC-103786/2021	2021
Philippines/PH-PGC-103822/2021	2021
Philippines/PH-PGC-102458/2021	2021
Philippines/PH-PGC-103762/2022	2022
Philippines/PH-PGC-102609/2021	2021
